,City,Latitude,Longitute,Max Temperature,Humidity,Cloudiness,Wind Speed,County,Date
0,Bathsheba,13.22,-59.52,82.4,74,20,12.75,BB,1595213143
1,Bengkulu,-3.8,102.27,84.87,66,0,4.56,ID,1595213143
2,Punta Arenas,-53.15,-70.92,33.8,80,96,4.7,CL,1595212876
3,Gamba,-2.65,10.0,71.96,82,100,4.21,GA,1595212851
4,Coolum Beach,-26.53,153.1,73.99,35,0,3.0,AU,1595213144
5,Bay Roberts,47.6,-53.26,61.0,1,0,9.04,CA,1595213144
6,Port Alfred,-33.59,26.89,62.53,31,0,7.99,ZA,1595213144
7,Ushuaia,-54.8,-68.3,26.6,92,0,5.82,AR,1595213144
8,Jamestown,42.1,-79.24,71.01,88,20,10.29,US,1595212976
9,Fortuna,40.6,-124.16,55.99,100,90,6.93,US,1595213144
10,Bluff,-46.6,168.33,46.2,78,99,3.4,NZ,1595213144
11,Songjianghe,42.19,127.48,64.9,95,100,3.94,CN,1595213144
12,Hermanus,-34.42,19.23,54.0,93,10,1.99,ZA,1595213144
13,Butaritari,3.07,172.79,83.16,79,0,16.08,KI,1595213145
14,Tazovsky,67.47,78.7,54.1,67,46,12.24,RU,1595213055
15,Saint Paul Harbor,57.79,-152.41,57.2,87,90,18.34,US,1595213145
16,Bella Union,-30.28,-57.6,66.58,77,1,9.71,UY,1595213145
17,Rikitea,-23.12,-134.97,68.88,59,2,11.63,PF,1595213145
18,Vaini,-21.2,-175.2,69.8,94,90,4.7,TO,1595213145
19,Lavrentiya,65.58,-171.0,47.3,75,100,10.4,RU,1595213145
20,Codajás,-3.84,-62.06,75.63,81,30,1.95,BR,1595213145
21,Kirkland Lake,48.14,-80.04,69.8,64,1,12.75,CA,1595213145
22,Qaanaaq,77.48,-69.36,45.45,75,99,1.77,GL,1595213145
23,Abhā,18.22,42.51,57.2,87,75,13.87,SA,1595213146
24,Longyearbyen,78.22,15.64,44.6,87,75,11.41,SJ,1595213147
25,Fairbanks,64.84,-147.72,73.4,46,20,8.05,US,1595213147
26,Blythe,33.61,-114.6,111.2,7,75,12.75,US,1595213147
27,Sangar,63.92,127.47,78.31,56,88,13.76,RU,1595212882
28,Albany,42.6,-73.97,80.01,51,97,4.36,US,1595213147
29,Kalmunai,7.42,81.82,84.97,66,99,2.15,LK,1595213147
30,Bambous Virieux,-20.34,57.76,70.0,72,75,16.11,MU,1595213147
31,Mataura,-46.19,168.86,49.57,75,100,2.19,NZ,1595213147
32,Ust'-Shonosha,61.15,41.34,58.24,69,19,4.23,RU,1595213147
33,Bethel,41.37,-73.41,80.6,69,1,10.29,US,1595213147
34,Port Hawkesbury,45.62,-61.35,66.2,93,40,4.7,CA,1595213147
35,Saint-Augustin,51.23,-58.65,64.58,69,23,5.59,CA,1595213148
36,Geraldton,-28.77,114.6,60.8,63,0,16.11,AU,1595213148
37,Cape Town,-33.93,18.42,57.0,100,20,8.05,ZA,1595212960
38,Shellbrook,53.22,-106.4,64.4,88,75,6.93,CA,1595212985
39,Yagodnoye,62.55,149.67,71.42,41,2,8.63,RU,1595213148
40,Faanui,-16.48,-151.75,76.95,83,70,21.79,PF,1595212851
41,Ilhabela,-23.78,-45.36,66.85,78,0,3.44,BR,1595213148
42,Avarua,-21.21,-159.78,77.0,69,55,18.34,CK,1595213075
43,Arauca,7.08,-70.76,74.86,86,71,2.51,CO,1595213148
44,Mar del Plata,-38.0,-57.56,52.0,100,90,12.75,AR,1595213149
45,Nueve de Julio,-35.44,-60.88,55.99,99,100,1.99,AR,1595213149
46,Sharjah city,25.36,55.4,95.0,53,99,9.17,AE,1595212889
47,Morondava,-20.28,44.28,65.43,58,0,12.15,MG,1595212883
48,Stolbishche,55.65,49.22,62.6,93,90,8.95,RU,1595213149
49,Saint-Philippe,-21.36,55.77,60.8,67,75,5.82,RE,1595213149
50,Busselton,-33.65,115.33,55.99,78,0,7.0,AU,1595213149
51,Saldanha,-33.01,17.94,46.4,87,0,5.82,ZA,1595213149
52,Nabire,-3.37,135.48,85.6,63,13,4.83,ID,1595213149
53,Pangnirtung,66.15,-65.71,56.77,66,100,3.94,CA,1595213150
54,Barrow,71.29,-156.79,37.4,83,90,13.87,US,1595213150
55,Hilo,19.73,-155.09,78.8,74,90,12.75,US,1595213150
56,Lerwick,60.15,-1.15,50.0,93,61,6.93,GB,1595213150
57,Chara,56.91,118.26,59.95,77,97,3.27,RU,1595213150
58,Road Town,18.42,-64.62,82.0,81,0,13.0,VG,1595213150
59,Diffa,13.32,12.61,85.23,45,35,11.97,NE,1595213150
60,New Norfolk,-42.78,147.06,50.0,77,57,3.0,AU,1595213150
61,Gemeente Uden,51.66,5.61,60.01,82,90,3.36,NL,1595213151
62,Tabuk,17.42,121.44,87.06,61,0,6.13,PH,1595213151
63,Atuona,-9.8,-139.03,79.32,79,44,15.99,PF,1595213151
64,Muroto-misakicho,33.28,134.15,82.4,74,75,6.93,JP,1595213151
65,Paamiut,61.99,-49.67,47.01,78,100,1.41,GL,1595213151
66,Pisco,-13.7,-76.22,61.0,82,43,8.05,PE,1595213151
67,Hobart,-42.88,147.33,50.0,62,40,19.46,AU,1595213151
68,Upernavik,72.79,-56.15,48.96,55,21,7.34,GL,1595213151
69,Cap Malheureux,-19.98,57.61,70.0,58,81,8.99,MU,1595213151
70,Vanimo,-2.67,141.3,85.68,62,25,6.87,PG,1595213151
71,Berbérati,4.26,15.79,66.83,99,100,1.83,CF,1595213151
72,Acapulco de Juárez,16.86,-99.89,84.2,83,40,3.36,MX,1595213152
73,Coyhaique,-45.58,-72.07,33.8,91,90,4.7,CL,1595213152
74,Alekseyevka,50.63,38.69,60.6,86,0,2.51,RU,1595213152
75,Itatinga,-23.1,-48.62,57.09,73,0,4.05,BR,1595213152
76,Margate,51.38,1.39,57.99,73,0,1.01,GB,1595213152
77,Vazante,-17.99,-46.91,60.76,69,1,2.86,BR,1595213152
78,Carnarvon,-24.87,113.63,66.2,42,0,14.99,AU,1595213152
79,Nikolskoye,59.7,30.79,64.0,87,75,4.47,RU,1595213152
80,Dzaoudzi,-12.79,45.27,77.0,69,90,19.46,YT,1595213152
81,Nhulunbuy,-12.23,136.77,82.4,51,40,14.99,AU,1595213153
82,Changchun,43.88,125.32,69.8,77,90,4.47,CN,1595212967
83,Riyadh,24.69,46.72,91.4,24,17,5.82,SA,1595213153
84,Yellowknife,62.46,-114.35,70.0,64,75,3.36,CA,1595213126
85,Bredasdorp,-34.53,20.04,53.6,93,21,2.24,ZA,1595213153
86,Mana,5.66,-53.78,77.7,83,100,7.92,GF,1595213153
87,Igunga,-4.28,33.88,58.93,71,19,7.85,TZ,1595213153
88,Airai,-8.93,125.41,73.4,38,19,2.84,TL,1595213153
89,San Vicente,-26.62,-54.13,63.09,82,13,4.85,AR,1595213153
90,Udomlya,57.88,34.99,57.67,87,90,1.36,RU,1595213153
91,Shenkursk,62.11,42.9,59.59,75,0,2.98,RU,1595213154
92,Mahébourg,-20.41,57.7,68.0,72,75,16.11,MU,1595213154
93,Kapaa,22.08,-159.32,82.4,78,40,19.46,US,1595213154
94,Zyryanskoye,56.83,86.63,70.18,83,99,4.16,RU,1595213154
95,Richards Bay,-28.78,32.04,56.25,83,0,5.97,ZA,1595213154
96,Zhangye,38.93,100.45,85.77,14,29,7.09,CN,1595213154
97,Hanzhong,33.07,107.03,79.72,63,100,3.33,CN,1595213154
98,Berbera,10.44,45.01,86.68,45,51,26.31,SO,1595213154
99,Torbay,47.67,-52.73,62.01,77,20,12.75,CA,1595212862
100,Evanston,42.04,-87.69,78.8,57,40,8.05,US,1595213154
101,Mahon,39.89,4.27,69.8,88,0,4.23,ES,1595213154
102,Severo-Kuril'sk,50.68,156.12,53.83,79,68,13.8,RU,1595213154
103,Waingapu,-9.66,120.26,82.83,59,23,11.88,ID,1595213155
104,Marystown,47.17,-55.15,57.29,92,0,11.34,CA,1595213155
105,Karratha,-20.74,116.85,70.75,50,0,18.66,AU,1595213155
106,Vostok,46.49,135.88,81.81,30,100,7.85,RU,1595213155
107,Kumul,42.8,93.45,95.31,12,30,11.1,CN,1595213155
108,Narsaq,60.92,-46.05,51.8,53,54,5.82,GL,1595212946
109,Salalah,17.02,54.09,78.8,94,90,6.93,OM,1595213155
110,Ponta do Sol,32.67,-17.1,71.6,78,40,9.17,PT,1595213155
111,Dikson,73.51,80.55,41.29,97,89,9.62,RU,1595213155
112,Encruzilhada do Sul,-30.54,-52.52,62.83,92,68,3.49,BR,1595213156
113,Balkanabat,39.51,54.37,93.6,19,0,2.44,TM,1595213156
114,Kenai,60.55,-151.26,62.6,77,90,16.11,US,1595213037
115,Bonavista,48.65,-53.11,58.96,74,6,8.28,CA,1595213157
116,Zuwārah,32.93,12.08,72.75,82,13,5.55,LY,1595213157
117,Sidi Ali,36.1,0.42,73.0,57,0,1.54,DZ,1595213157
118,Norman Wells,65.28,-126.83,59.0,77,75,9.17,CA,1595213157
119,Krasnyye Chetai,55.69,46.14,59.2,94,23,8.01,RU,1595213157
120,Birnin Kebbi,12.45,4.2,77.68,76,6,7.83,NG,1595213157
121,Yenagoa,4.92,6.26,73.65,95,100,2.68,NG,1595213157
122,Saskylakh,71.92,114.08,62.67,51,60,11.1,RU,1595213158
123,Cidreira,-30.18,-50.21,66.02,79,73,5.7,BR,1595213158
124,Taksimo,56.34,114.88,52.0,87,100,4.54,RU,1595213044
125,Port Blair,11.67,92.75,84.27,68,96,2.39,IN,1595213159
126,Witbank,-25.87,29.23,39.15,60,0,4.12,ZA,1595213159
127,Solnechnyy,50.72,136.63,81.77,56,98,4.9,RU,1595213159
128,Kaitangata,-46.28,169.85,45.0,73,97,1.99,NZ,1595213159
129,Valdez,1.25,-78.98,77.14,86,97,13.82,EC,1595213159
130,Puerto Madryn,-42.77,-65.04,42.8,100,90,4.7,AR,1595213159
131,Mehrān,33.12,46.16,75.2,9,0,2.24,IR,1595213159
132,Ribeira Grande,38.52,-28.7,68.83,77,58,2.17,PT,1595213160
133,East London,-33.02,27.91,61.05,30,0,3.53,ZA,1595213160
134,Jumla,29.27,82.18,69.73,57,61,3.62,NP,1595213160
135,Karpogory,64.0,44.45,59.56,68,0,4.92,RU,1595213160
136,Ransang,8.96,117.58,87.28,62,100,1.88,PH,1595213160
137,Hong Kong,22.29,114.16,90.0,62,100,8.99,HK,1595213120
138,Caravelas,-17.71,-39.25,70.48,91,100,6.26,BR,1595213160
139,Rapid Valley,44.06,-103.15,71.01,64,90,9.17,US,1595213160
140,Havøysund,71.0,24.66,51.8,87,100,8.05,NO,1595213161
141,Chokurdakh,70.63,147.92,76.71,40,100,15.3,RU,1595213161
142,Dhidhdhoo,6.88,73.1,80.73,83,100,24.74,MV,1595213161
143,Velykoploske,47.01,29.67,66.2,82,3,5.82,UA,1595213161
144,Palimbang,6.21,124.19,86.27,66,50,5.21,PH,1595213161
145,Aleksandrovskiy Zavod,50.92,117.94,57.87,64,80,15.26,RU,1595213162
146,Mayumba,-3.43,10.66,69.98,91,23,3.89,GA,1595213162
147,Kiryat Gat,31.61,34.76,75.99,81,0,1.74,IL,1595213162
148,Arraial do Cabo,-22.97,-42.03,70.43,86,0,22.55,BR,1595213162
149,Belaya Gora,68.53,146.42,80.28,32,99,13.4,RU,1595213162
150,Safaga,26.73,33.94,83.26,47,13,13.98,EG,1595213162
151,Puerto Ayora,-0.74,-90.35,69.01,92,73,4.0,EC,1595213162
152,Nemuro,43.32,145.57,77.0,61,75,2.24,JP,1595213163
153,Husavik,66.04,-17.34,44.6,93,90,2.24,IS,1595212869
154,Calmar,53.27,-113.82,62.6,82,75,8.05,CA,1595213153
155,Tasiilaq,65.61,-37.64,42.8,93,39,6.93,GL,1595213163
156,Minsk,53.9,27.57,50.0,100,40,4.47,BY,1595213102
157,Bagotville,-28.98,153.42,73.0,43,0,10.29,AU,1595213163
158,Conde,-7.26,-34.91,73.4,100,75,8.05,BR,1595213163
159,Pincher Creek,49.48,-113.95,64.4,77,1,12.75,CA,1595213163
160,Tiksi,71.69,128.87,64.18,51,41,6.06,RU,1595213163
161,Torit,4.41,32.57,65.68,88,59,1.83,SS,1595213163
162,Tigil',57.8,158.67,65.37,54,18,10.85,RU,1595213163
163,Yar-Sale,66.83,70.83,60.53,56,0,9.53,RU,1595213164
164,Henties Bay,-22.12,14.28,64.99,33,0,16.58,NA,1595213164
165,Half Moon Bay,37.46,-122.43,69.01,87,90,4.7,US,1595212865
166,Batticaloa,7.71,81.69,83.46,71,100,1.5,LK,1595213126
167,Mindelo,16.89,-24.98,78.8,78,20,11.41,CV,1595213164
168,Port Hardy,50.7,-127.42,66.2,63,20,18.34,CA,1595213121
169,Dalby,-27.18,151.27,71.01,20,0,5.01,AU,1595213164
170,Catió,11.28,-15.25,76.01,92,100,7.56,GW,1595213164
171,Huarmey,-10.07,-78.15,60.12,86,14,7.23,PE,1595213164
172,Jan Kempdorp,-27.92,24.83,39.63,59,0,4.65,ZA,1595213164
173,Sawtell,-30.38,153.1,69.01,42,0,12.75,AU,1595213164
174,Soe,-9.86,124.28,78.19,43,86,7.87,ID,1595213165
175,Kutum,14.2,24.67,73.49,67,87,9.73,SD,1595213095
176,Lebu,-37.62,-73.65,51.19,87,0,13.22,CL,1595213165
177,Thompson,55.74,-97.86,69.8,56,75,2.24,CA,1595213165
178,Alofi,-19.06,-169.92,80.6,74,74,11.41,NU,1595213165
179,Salamiyah,35.01,37.05,70.92,43,0,3.4,SY,1595213165
180,Westport,41.14,-73.36,79.0,78,1,10.29,US,1595213165
181,Faya,18.39,42.45,57.2,87,75,13.87,SA,1595213165
182,Mocuba,-16.84,36.99,59.95,98,11,2.84,MZ,1595213165
183,Nizwá,22.93,57.53,84.07,66,58,1.41,OM,1595213165
184,Nizhneudinsk,54.91,99.03,65.91,46,58,4.79,RU,1595213165
185,Ibiá,-19.48,-46.54,55.99,30,0,1.99,BR,1595213141
186,Japura,-0.32,102.35,85.12,68,37,4.61,ID,1595213166
187,Olafsvik,64.89,-23.71,47.59,79,41,7.87,IS,1595213166
188,Sola,-13.88,167.55,77.13,82,90,15.43,VU,1595213166
189,Vila Velha,-20.33,-40.29,68.0,94,75,3.36,BR,1595213166
190,Quatre Cocos,-20.21,57.76,70.0,72,75,16.11,MU,1595213166
191,Tuktoyaktuk,69.45,-133.04,48.2,70,75,4.7,CA,1595213166
192,Tiznit Province,29.58,-9.5,77.18,38,0,1.7,MA,1595213166
193,Brigantine,39.41,-74.36,80.6,83,1,10.29,US,1595213166
194,Aklavik,68.22,-135.01,51.8,66,75,3.36,CA,1595213166
195,Karatsu,33.44,129.97,91.4,63,75,11.41,JP,1595213166
196,Castro,-24.79,-50.01,54.81,90,0,3.62,BR,1595213166
197,Lima,-12.04,-77.03,60.8,82,90,8.05,PE,1595212893
198,Poum,-20.23,164.02,71.51,72,37,18.88,NC,1595213167
199,Lagoa,39.05,-27.98,68.38,79,42,7.58,PT,1595213167
200,Port Elizabeth,-33.92,25.57,44.6,93,0,4.7,ZA,1595213167
201,Esperance,-33.87,121.9,55.4,66,80,8.05,AU,1595213167
202,Thames,-37.13,175.53,64.0,81,100,5.01,NZ,1595213167
203,Flinders,-34.58,150.86,61.0,33,0,16.11,AU,1595213167
204,Rio Grande,-32.03,-52.1,64.72,86,37,7.47,BR,1595213081
205,Khatanga,71.97,102.5,52.36,72,100,3.76,RU,1595213167
206,Mount Gambier,-37.83,140.77,51.8,71,90,14.99,AU,1595213167
207,Korla,41.76,86.15,71.01,94,100,17.85,CN,1595213168
208,Mnogovershinnyy,53.94,139.92,65.75,76,71,6.44,RU,1595213168
209,Cayenne,4.93,-52.33,75.2,100,99,7.0,GF,1595213168
210,Klaksvík,62.23,-6.59,50.0,87,72,12.75,FO,1595213168
211,Aswān,24.09,32.91,84.33,22,31,8.93,EG,1595213168
212,Worthington,40.09,-83.02,75.99,83,1,8.05,US,1595213154
213,Clyde River,70.47,-68.59,42.8,87,1,4.7,CA,1595213168
214,Pacific Grove,36.62,-121.92,64.4,72,75,8.05,US,1595213169
215,Hithadhoo,-0.6,73.08,82.36,79,100,15.39,MV,1595213001
216,Masvingo,-20.06,30.83,45.66,88,0,3.89,ZW,1595213169
217,Vangaindrano,-23.35,47.6,63.77,68,85,0.49,MG,1595213169
218,Lüderitz,-26.65,15.16,59.0,38,0,1.12,NA,1595213169
219,Adeje,28.12,-16.73,79.0,83,0,1.12,ES,1595212948
220,Shenjiamen,29.96,122.3,77.97,90,100,8.23,CN,1595212966
221,Buta,2.79,24.73,69.46,97,100,1.39,CD,1595213169
222,Semey,50.41,80.23,75.2,41,55,11.18,KZ,1595213169
223,George Town,5.41,100.34,84.2,83,20,4.7,MY,1595212987
224,Krasnozerskoye,53.98,79.24,75.69,65,64,4.5,RU,1595213170
225,Hamilton,39.18,-84.53,75.2,94,1,9.86,US,1595213103
226,Upata,8.01,-62.4,79.0,86,20,1.99,VE,1595213170
227,Streletskoye,50.64,36.47,59.0,77,0,2.24,RU,1595213170
228,Santa Rosa,14.31,121.11,91.99,62,98,10.29,PH,1595213170
229,Praia da Vitória,38.73,-27.07,69.8,77,75,4.61,PT,1595213170
230,Te Anau,-45.42,167.72,46.67,92,100,2.3,NZ,1595213170
231,San Luis,-33.3,-66.34,50.68,80,0,11.52,AR,1595213091
232,Gravdal,68.12,13.5,55.49,79,94,11.5,NO,1595213171
233,Maricá,-22.92,-42.82,72.0,78,0,3.36,BR,1595213171
234,Sesheke,-17.48,24.3,39.2,80,0,2.24,ZM,1595213171
235,Manta,-0.95,-80.73,70.16,85,79,12.17,EC,1595213171
236,Suicheng,33.9,117.93,82.26,60,38,5.57,CN,1595213171
237,Iqaluit,63.75,-68.51,42.8,100,90,10.29,CA,1595213171
238,Murgab,37.5,61.97,80.6,32,0,4.7,TM,1595213171
239,Chui,-33.7,-53.46,66.22,86,94,7.25,UY,1595213171
240,Coquimbo,-29.95,-71.34,51.8,93,67,4.7,CL,1595213171
241,Nome,64.5,-165.41,55.0,76,75,9.17,US,1595213116
242,Winnemucca,40.97,-117.74,96.8,7,1,10.29,US,1595213172
243,Dubbo,-32.25,148.62,55.4,54,40,6.93,AU,1595213172
244,Codrington,-38.27,141.97,52.79,73,67,14.58,AU,1595213172
245,Shimoda,34.67,138.95,82.0,78,75,10.29,JP,1595212886
246,Bambanglipuro,-7.95,110.28,82.54,71,50,13.87,ID,1595213172
247,Vicuña,-30.03,-70.71,46.99,70,72,0.13,CL,1595213172
248,Srednekolymsk,67.45,153.68,78.57,33,0,12.19,RU,1595213172
249,Taltal,-25.4,-70.48,57.42,72,100,2.73,CL,1595213172
250,Antofagasta,-23.65,-70.4,57.2,76,90,9.17,CL,1595212932
251,Canora,51.63,-102.43,64.4,88,75,2.24,CA,1595213173
252,Nānākuli,21.39,-158.15,86.0,62,75,9.17,US,1595213173
253,Havelock,34.88,-76.9,84.99,37,20,9.17,US,1595213173
254,Nelson Bay,-32.72,152.15,64.99,27,0,12.75,AU,1595213173
255,Cabo San Lucas,22.89,-109.91,95.0,51,20,17.22,MX,1595213013
256,Nguruka,-5.11,31.04,58.68,68,25,5.12,TZ,1595213173
257,Aljezur,37.32,-8.8,72.0,78,4,5.37,PT,1595213173
258,Stornoway,58.21,-6.39,48.99,100,93,4.7,GB,1595213173
259,San Cristobal,7.77,-72.22,65.64,90,68,3.71,VE,1595213173
260,Orlik,52.52,99.83,64.74,40,12,0.56,RU,1595213173
261,Winslow,35.02,-110.7,96.8,12,1,11.41,US,1595213070
262,Berlevåg,70.86,29.09,50.97,90,100,4.16,NO,1595213173
263,Tonj,7.27,28.68,68.7,98,99,4.23,SS,1595213173
264,Praia,14.92,-23.51,78.8,78,75,9.17,CV,1595213174
265,Kuusamo,65.97,29.18,59.0,93,85,1.12,FI,1595213174
266,Mae Sot,16.72,98.57,82.4,78,40,2.24,TH,1595213174
267,Cabo Rojo,18.09,-67.15,81.0,89,53,1.01,PR,1595213165
268,Mildura,-34.2,142.15,57.99,58,75,9.17,AU,1595213002
269,Genhe,50.78,121.52,69.06,35,55,9.91,CN,1595213174
270,Santa Maria,-29.68,-53.81,69.04,73,10,7.96,BR,1595213081
271,Desaguadero,-16.57,-69.04,41.61,65,77,2.73,PE,1595213174
272,Boffa,10.17,-14.03,74.57,94,99,3.91,GN,1595213174
273,Atar,20.52,-13.05,84.99,45,1,12.21,MR,1595213017
274,Mazagão,-0.12,-51.29,78.8,100,20,2.24,BR,1595213174
275,Suclayin,15.76,121.55,84.43,68,100,2.64,PH,1595213174
276,Mezen',65.85,44.24,60.91,62,0,3.94,RU,1595213175
277,Pevek,69.7,170.31,49.37,54,0,6.73,RU,1595213175
